Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/05/21 09:16:33,"1,080",-,-,-,-,-,Payment,Appleサービス,"PayPay Point (237yen), PayPay Balance (843yen)",-,-,04712790236012126208
2025/05/21 09:16:33,-,5,-,-,-,-,"Points, Balance Earned",Appleサービス,PayPay Point,-,-,04712790236012126208
2025/05/20 09:48:15,-,"10,000",-,-,-,-,Top-Up,PayPay,ソニー銀行 *****73,-,-,02000916133008793600
2025/05/20 09:48:15,"6,000",-,-,-,-,-,Bill Payment,東京都世田谷区,PayPay Balance,-,-,04712064403718545410
2025/05/19 17:11:19,-,12,-,-,-,-,"Points, Balance Earned",Dominos Pizza,PayPay Point,-,-,04711550596780924929
2025/05/19 17:11:19,"2,449",-,-,-,-,-,Payment,Dominos Pizza,PayPay Balance,-,-,04711550596780924929
2025/05/19 15:50:27,-,"10,000",-,-,-,-,Top-Up,PayPay,ソニー銀行 *****73,-,-,02000360630529024017
2025/05/19 15:50:27,"3,709",-,-,-,-,-,Bill Payment,東京電力エナジーパートナー株式会社,PayPay Balance,-,-,04711508909828440071
2025/05/18 15:08:10,-,5,-,-,-,-,"Points, Balance Earned",ホァン　フク,PayPay Point,-,-,04710744955406000128
2025/05/18 15:08:10,"1,100",-,-,-,-,-,Payment,ホァン　フク - ホアンフクベトナム料理,PayPay Balance,-,-,04710744955406000128
2025/05/18 13:13:51,600,-,-,-,-,-,Payment,KOTONE CAFE,PayPay Balance,-,-,04710686028454592520
2025/05/18 13:13:50,-,3,-,-,-,-,"Points, Balance Earned",KOTONE CAFE,PayPay Point,-,-,04710686028454592520
2025/05/16 09:14:31,-,2,-,-,-,-,"Points, Balance Earned",Appleサービス,PayPay Point,-,-,04709078344886419456
2025/05/16 09:14:31,450,-,-,-,-,-,Payment,Appleサービス,"PayPay Point (2yen), PayPay Balance (448yen)",-,-,04709078344886419456
